temp,hum,pm003,pm01,pm02,pm10,tvoc
23.12,37.33,933,4,6,6,101
23.57,44.1,1532,7,14,15,94
23.28,37.07,1174,6,8,8,105
23.01,43.02,-1,-1,-1,-1,0
23.52,43.68,-1,-1,-1,-1,0
23.43,36.87,1096,6,7,7,104
23.52,43.51,1330,7,12,12,4
23.71,36.39,939,4,5,5,108
23.04,43.08,1707,10,17,18,18
23.78,36.21,1054,5,7,7,100
23.04,43.15,1441,7,12,12,96
23.85,36.13,1132,6,9,9,105
23.93,35.93,1034,5,6,6,103
23.13,42.76,1507,8,13,13,104
24.06,35.84,1104,5,6,6,103
23.3,43.41,1409,7,11,11,75
23.28,43.17,1347,6,10,10,89
23.18,42.79,1628,8,15,15,97
23.28,43.16,-1,-1,-1,-1,0
24.33,35.49,1041,4,6,6,104
23.22,42.76,1680,9,15,15,102
24.5,35.2,992,4,6,6,104
24.64,35.07,973,4,6,6,104
23.22,43.44,-1,-1,-1,-1,0
23.32,42.68,1584,7,13,13,102
23.34,42.9,1374,7,12,12,97
23.38,42.65,1685,8,15,16,112
23.22,43.45,1611,9,12,12,114
25.01,34.27,1005,4,6,6,103
25.08,34.19,1021,4,7,7,106
23.21,43.22,1339,6,10,10,85
23.46,42.38,1463,8,11,12,98
25.22,33.89,1047,4,6,6,101
23.48,42.62,1581,8,12,12,97
23.45,42.45,1515,8,14,14,104
23.46,42.31,1347,7,12,12,96
23.25,42.29,-1,-1,-1,-1,0
23.51,41.66,1323,6,11,11,104
25.29,33.74,969,4,6,6,101
25.29,33.66,981,3,5,5,102
23.46,41.22,1543,7,12,12,98
23.22,41.66,-1,-1,-1,-1,0
25.28,33.71,1029,4,6,6,102
23.45,41.11,1430,7,11,13,126
25.25,33.66,1238,5,7,7,104
23.42,41.01,-1,-1,-1,-1,0
23.44,41.01,1528,7,13,13,86
23.25,41.5,1504,7,11,11,97
25.11,33.7,1001,4,6,6,100
23.41,41.16,1621,8,13,13,111
25.08,33.7,1076,4,7,7,101
23.26,41.39,1358,7,11,11,99
23.28,41.42,1645,8,14,14,108
25.05,33.76,978,4,5,5,97
23.29,41.25,1411,8,11,11,96
23.28,41.29,-1,-1,-1,-1,0
24.95,33.87,1074,4,6,6,99
23.45,40.94,-1,-1,-1,-1,0
24.92,33.9,908,3,4,4,101
23.29,41.13,1485,8,11,11,94
23.44,40.68,1355,8,14,14,60
24.89,33.93,993,4,6,6,95
23.45,40.57,1486,7,12,13,108
23.25,40.84,1281,6,9,9,94
23.45,40.57,-1,-1,-1,-1,0
23.23,40.9,1622,8,14,15,103
24.81,34.13,1168,4,6,7,102
23.22,41.05,1500,7,11,11,97
24.78,34.18,1089,5,6,6,102
23.21,41.18,-1,-1,-1,-1,0
24.71,34.27,993,4,7,7,87
23.46,41.23,-1,-1,-1,-1,0
24.68,34.38,1036,5,7,7,82
23.48,41.28,1539,7,11,11,100
23.28,41.33,-1,-1,-1,-1,0
24.6,34.48,1043,4,7,7,86
24.54,34.43,847,3,6,6,85
24.51,34.46,987,4,5,5,84
23.29,41.22,1586,8,11,11,107
23.29,41.17,1362,6,10,10,108
24.5,34.25,1005,4,6,6,78
23.29,41.04,1325,6,10,11,102
24.47,34.31,1092,5,7,7,73
23.46,40.95,1494,7,13,14,85
23.3,41.25,-1,-1,-1,-1,0
23.29,41.28,1385,7,11,11,10
23.49,40.84,1460,7,12,12,107
24.43,34.18,978,3,5,5,65
23.29,40.94,1368,6,10,10,87
23.55,40.88,1431,7,12,12,103
24.37,34.34,961,4,7,7,70
24.34,34.26,1045,4,6,6,71
23.34,40.94,1703,8,14,14,104
23.36,40.97,1345,6,10,10,103
24.26,34.4,1028,4,6,6,71
23.34,40.77,1485,8,11,11,101
23.42,40.49,1559,7,13,15,88
24.18,34.67,1185,5,6,6,76
23.42,40.97,1432,7,11,14,102
24.18,34.67,956,3,5,5,83
23.4,40.48,1442,7,10,10,99
23.41,41.19,1645,8,16,16,16
23.38,40.49,1418,8,12,12,18
23.42,41.37,1437,7,11,11,64
23.45,40.63,1721,8,13,13,105
23.42,41.25,1468,7,11,12,92
23.47,40.61,-1,-1,-1,-1,0
23.89,35.03,1053,5,6,7,71
23.84,35.17,-1,-1,-1,-1,0
23.48,40.7,1333,7,9,9,102
23.82,35.23,1079,5,6,6,1
23.57,40.57,1602,8,12,12,105
23.6,40.44,1503,7,12,12,101
23.51,40.56,1409,6,13,13,108
23.64,40.37,1291,7,9,9,101
23.48,40.44,1579,9,14,14,2
23.66,40.3,1488,6,10,10,105
23.65,35.42,-1,-1,-1,-1,0
23.46,40.4,1492,7,13,13,92
23.58,35.62,969,4,6,7,89
23.68,40.48,1611,8,12,12,92
23.53,35.76,854,3,3,3,103
23.71,40.35,1233,6,10,10,104
23.42,40.69,1489,8,15,16,102
23.71,40.34,-1,-1,-1,-1,0
23.5,35.75,810,3,5,5,104
23.71,40.21,1473,7,13,13,33
23.42,40.63,1628,8,15,15,97
23.44,35.93,1288,6,8,10,106
23.41,40.66,1579,8,13,13,118
23.44,40.63,1442,7,12,12,97
23.73,40,1698,8,13,13,54
23.36,36.02,964,4,6,6,104
23.36,36.1,871,4,5,5,98
23.71,40.09,-1,-1,-1,-1,0
23.26,36.26,1007,4,6,6,102
23.66,40.36,-1,-1,-1,-1,0
23.16,36.27,1056,5,8,9,4
23.38,40.82,1761,9,14,15,85
23.12,36.35,1245,6,10,10,81
23.09,36.64,1049,5,7,7,105
23.42,40.63,1668,8,14,14,100
23.42,40.81,-1,-1,-1,-1,0
